Time [s],Channel 1
38.664487235,1
38.666235583,0
38.666240250,1
38.666254417,0
38.666259000,1
38.666273167,0
38.666277833,1
38.666292000,0
38.666296583,1
38.666310750,0
38.666315333,1
38.666329583,0
38.666334167,1
38.666348333,0
38.666352917,1
38.666367083,0
38.666371750,1
38.666628917,0
38.666642833,1
38.666647833,0
38.666653917,1
38.666666667,0
38.666679583,1
38.666685500,0
38.666691417,1
38.666704250,0
38.666710333,1
38.666723000,0
38.666736750,1
38.666741833,0
38.666747833,1
38.666760667,0
38.666774333,1
38.671005167,0
38.671019083,1
38.671024083,0
38.671028500,1
38.671042750,0
38.671056667,1
38.671061750,0
38.671075417,1
38.671080583,0
38.671094250,1
38.671099333,0
38.671113000,1
38.671118167,0
38.671131833,1
38.671136917,0
38.671141250,1
38.671155500,0
38.671169417,1
38.671174417,0
38.671188167,1
38.671193333,0
38.671207000,1
38.671212083,0
38.671225750,1
38.671230917,0
38.671244583,1
38.671249667,0
38.671263333,1
38.671268500,0
38.671282167,1
38.671287250,0
38.671300917,1
38.671306083,0
38.671310333,1
38.671324583,0
38.671338500,1
38.671343583,0
38.671357333,1
38.671362417,0
38.671376083,1
38.671381167,0
38.671394833,1
38.671400000,0
38.671413667,1
38.671418750,0
38.671432417,1
38.671437583,0
38.671451250,1
38.671456333,0
38.671460667,1
38.671474917,0
38.671488833,1
38.671493833,0
38.671507583,1
38.671512667,0
38.671526417,1
38.671531500,0
38.671545167,1
38.671550333,0
38.671564000,1
38.671569083,0
38.671582750,1
38.671587833,0
38.671601500,1
38.671606667,0
38.671611000,1
38.671625167,0
38.671639083,1
38.671644167,0
38.671648583,1
38.671662750,0
38.671667333,1
38.671681583,0
38.671686167,1
38.671700333,0
38.671714250,1
38.671719333,0
38.671733083,1
38.671738167,0
38.671751833,1
38.671756917,0
38.671761333,1
38.671775500,0
38.671780083,1
38.671794333,0
38.671808250,1
38.671813250,0
38.671827000,1
38.671832083,0
38.671845833,1
38.671850917,0
38.671864583,1
38.671869667,0
38.671883333,1
38.671888500,0
38.671902167,1
38.671907250,0
38.671920917,1
38.671926083,0
38.671930417,1
38.671944583,0
38.671949167,1
38.671963417,0
38.671977333,1
38.671982333,0
38.671986750,1
38.672001000,0
38.672014917,1
38.672019917,0
38.672024333,1
38.672038500,0
38.672052500,1
38.672057500,0
38.672061917,1
38.672076083,0
38.672090083,1
38.672095083,0
38.672108833,1
38.672113917,0
38.672127667,1
38.672132750,0
38.672137083,1
38.672151333,0
38.672155917,1
38.672170083,0
38.672184000,1
38.672189083,0
38.672202833,1
38.672207917,0
38.672221583,1
38.672226750,0
38.672240417,1
38.672245500,0
38.672259167,1
38.672264333,0
38.672278000,1
38.672283083,0
38.672287417,1
38.672301667,0
38.672306250,1
38.672320417,0
38.672334333,1
38.672339417,0
38.672353167,1
38.672358250,0
38.672371917,1
38.672377000,0
38.672390750,1
38.672395833,0
38.672409500,1
38.672414667,0
38.672428333,1
38.672433417,0
38.672437750,1
38.672451917,0
38.672456583,1
38.672470750,0
38.672484667,1
38.672489667,0
38.672503500,1
38.672508583,0
38.672522250,1
38.672527333,0
38.672541000,1
38.672546167,0
38.672550500,1
38.672564667,0
38.672578583,1
38.672583667,0
38.672588083,1
38.672602250,0
38.672606833,1
38.672621083,0
38.672635000,1
38.672640000,0
38.672653750,1
38.672658833,0
38.672672583,1
38.672677667,0
38.672682000,1
38.672696167,0
38.672710083,1
38.672715167,0
38.672728917,1
38.672734000,0
38.672738333,1
38.672752583,0
38.672757167,1
38.672771333,0
38.672785250,1
38.672790250,0
38.672804083,1
38.672809167,0
38.672822833,1
38.672827917,0
38.672832333,1
38.672846500,0
38.672851083,1
38.672865250,0
38.672879250,1
38.672884250,0
38.672888667,1
38.672902833,0
38.672907417,1
38.672921667,0
38.672935583,1
38.672940583,0
38.672954333,1
38.672959417,0
38.672963833,1
38.672978000,0
38.672991917,1
38.672996917,0
38.673010750,1
38.673015833,0
38.673029500,1
38.673034583,0
38.673039000,1
38.673053167,0
38.673057750,1
38.673071917,0
38.673085833,1
38.673090917,0
38.673104667,1
38.673109750,0
38.673123417,1
38.673128583,0
38.673132917,1
38.673147083,0
38.673151667,1
38.673165917,0
38.673170500,1
38.673184667,0
38.673189250,1
38.673203500,0
38.673217417,1
38.673222417,0
38.673236167,1
38.673241250,0
38.673255000,1
38.673260083,0
38.673273750,1
38.673278833,0
38.673283167,1
38.673297417,0
38.673302000,1
