Time [s],Channel 1
26.557158396,1
26.559641583,0
26.559646250,1
26.559660417,0
26.559665000,1
26.559679167,0
26.559683750,1
26.559698000,0
26.559702583,1
26.559716750,0
26.559721333,1
26.559735583,0
26.559740167,1
26.559754333,0
26.559758917,1
26.559773083,0
26.559777750,1
26.560034917,0
26.560047750,1
26.560053917,0
26.560059667,1
26.560072667,0
26.560084583,1
26.560091500,0
26.560097250,1
26.560110250,0
26.560116000,1
26.560129083,0
26.560141667,1
26.560147833,0
26.560153583,1
26.560166667,0
26.560179417,1
26.564446250,0
26.564460167,1
26.564465250,0
26.564469667,1
26.564483833,0
26.564497750,1
26.564502833,0
26.564516583,1
26.564521667,0
26.564535333,1
26.564540500,0
26.564554167,1
26.564559250,0
26.564572917,1
26.564578083,0
26.564582333,1
26.564596583,0
26.564610500,1
26.564615583,0
26.564629333,1
26.564634417,0
26.564648083,1
26.564653250,0
26.564666917,1
26.564672000,0
26.564685667,1
26.564690833,0
26.564704417,1
26.564709583,0
26.564723250,1
26.564728417,0
26.564742000,1
26.564747167,0
26.564751500,1
26.564765667,0
26.564779583,1
26.564784667,0
26.564798417,1
26.564803500,0
26.564817167,1
26.564822333,0
26.564836000,1
26.564841083,0
26.564854750,1
26.564859917,0
26.564873583,1
26.564878667,0
26.564892333,1
26.564897500,0
26.564901833,1
26.564916000,0
26.564929917,1
26.564935000,0
26.564948750,1
26.564953833,0
26.564967500,1
26.564972667,0
26.564986333,1
26.564991417,0
26.565005083,1
26.565010250,0
26.565023917,1
26.565029000,0
26.565042667,1
26.565047833,0
26.565052083,1
26.565066333,0
26.565080250,1
26.565085333,0
26.565089667,1
26.565103917,0
26.565108500,1
26.565122667,0
26.565127250,1
26.565141500,0
26.565155417,1
26.565160500,0
26.565174167,1
26.565179333,0
26.565193000,1
26.565198083,0
26.565202417,1
26.565216667,0
26.565221250,1
26.565235417,0
26.565249333,1
26.565254417,0
26.565268167,1
26.565273250,0
26.565286917,1
26.565292083,0
26.565305750,1
26.565310833,0
26.565324500,1
26.565329667,0
26.565343333,1
26.565348417,0
26.565362083,1
26.565367250,0
26.565371583,1
26.565385750,0
26.565390333,1
26.565404583,0
