Time [s],Channel 1
19.552907087,1
19.555459750,0
19.555464333,1
19.555478583,0
19.555483167,1
19.555497333,0
19.555501917,1
19.555516167,0
19.555520750,1
19.555534917,0
19.555539500,1
19.555553667,0
19.555558333,1
19.555572500,0
19.555577083,1
19.555591250,0
19.555595833,1
19.555853083,0
19.555866833,1
19.555872000,0
19.555877833,1
19.555890833,0
19.555903667,1
19.555909667,0
19.555915417,1
19.555928417,0
19.555934167,1
19.555947167,0
19.555960917,1
19.555966000,0
19.555971750,1
19.555984833,0
19.555996750,1
19.560229167,0
19.560243083,1
19.560248167,0
19.560252500,1
19.560266750,0
19.560280667,1
19.560285750,0
19.560299417,1
19.560304583,0
19.560318250,1
19.560323333,0
19.560337000,1
19.560342167,0
19.560355833,1
19.560361000,0
19.560365250,1
19.560379500,0
19.560393417,1
19.560398500,0
19.560412167,1
19.560417333,0
19.560431000,1
19.560436083,0
19.560449750,1
19.560454917,0
19.560468583,1
19.560473667,0
19.560487417,1
19.560492500,0
19.560506167,1
19.560511333,0
19.560525000,1
19.560530083,0
19.560534417,1
19.560548583,0
19.560562500,1
19.560567583,0
19.560581333,1
19.560586417,0
19.560600083,1
19.560605250,0
19.560618917,1
19.560624000,0
19.560637667,1
19.560642833,0
19.560656500,1
19.560661583,0
19.560675250,1
19.560680417,0
19.560684750,1
19.560698917,0
19.560712833,1
19.560717917,0
19.560731667,1
19.560736750,0
19.560750417,1
19.560755583,0
19.560769250,1
19.560774333,0
19.560788000,1
19.560793167,0
19.560806833,1
19.560811917,0
19.560825583,1
19.560830750,0
19.560835000,1
19.560849250,0
19.560863167,1
19.560868167,0
19.560872583,1
19.560886833,0
19.560891417,1
19.560905583,0
19.560910167,1
19.560924417,0
19.560938333,1
19.560943333,0
19.560957083,1
19.560962167,0
19.560975917,1
19.560981000,0
19.560985333,1
19.560999500,0
19.561004083,1
19.561018333,0
19.561032250,1
19.561037250,0
19.561051000,1
19.561056083,0
19.561069833,1
19.561074917,0
19.561088583,1
19.561093750,0
19.561107417,1
19.561112500,0
19.561126167,1
19.561131333,0
19.561145000,1
19.561150083,0
19.561154417,1
19.561168583,0
19.561173167,1
19.561187417,0
19.561201333,1
19.561206333,0
19.561210750,1
19.561225000,0
19.561238917,1
19.561243917,0
19.561248333,1
19.561262500,0
19.561276500,1
19.561281500,0
19.561285917,1
19.561300083,0
19.561314083,1
19.561319083,0
19.561332833,1
19.561337917,0
19.561351583,1
19.561356750,0
19.561361083,1
19.561375250,0
19.561379833,1
19.561394083,0
19.561408000,1
19.561413000,0
19.561426750,1
19.561431833,0
19.561445583,1
19.561450667,0
19.561464333,1
19.561469417,0
19.561483167,1
19.561488250,0
19.561501917,1
19.561507000,0
19.561511333,1
19.561525583,0
19.561530167,1
19.561544333,0
19.561558250,1
19.561563333,0
19.561577083,1
19.561582167,0
19.561595833,1
19.561600917,0
19.561614667,1
19.561619750,0
19.561633417,1
19.561638500,0
19.561652250,1
19.561657333,0
19.561661667,1
19.561675833,0
19.561680417,1
19.561694667,0
19.561708583,1
19.561713583,0
19.561727333,1
19.561732417,0
19.561746167,1
19.561751250,0
19.561764917,1
19.561770083,0
19.561774417,1
19.561788583,0
19.561802500,1
19.561807500,0
19.561812000,1
19.561826167,0
19.561830750,1
19.561844917,0
19.561858833,1
19.561863917,0
19.561877667,1
19.561882750,0
19.561896417,1
