Time [s],Channel 1
16.114927044,1
16.116840667,0
16.116845417,1
16.116859917,0
16.116864667,1
16.116879167,0
16.116883917,1
16.116898417,0
16.116903167,1
16.116917667,0
16.116922417,1
16.116936917,0
16.116941667,1
16.116956167,0
16.116960917,1
16.116975417,0
16.116980167,1
16.117243833,0
16.117256667,1
16.117263167,0
16.117269000,1
16.117282417,0
16.117295500,1
16.117301667,0
16.117307500,1
16.117320917,0
16.117326833,1
16.117340167,0
16.117352000,1
16.117359500,0
16.117365333,1
16.117378750,0
16.117392083,1
16.121876167,0
16.121890500,1
16.121895583,0
16.121900167,1
16.121914750,0
16.121929000,1
16.121934083,0
16.121948250,1
16.121953417,0
16.121967500,1
16.121972667,0
16.121986833,1
16.121991917,0
16.122006083,1
16.122011167,0
16.122015750,1
16.122030333,0
16.122044583,1
16.122049667,0
16.122063833,1
16.122068917,0
16.122083083,1
16.122088167,0
16.122102333,1
16.122107417,0
16.122121583,1
16.122126667,0
16.122140833,1
16.122146000,0
16.122160167,1
16.122165250,0
16.122179417,1
16.122184500,0
16.122189083,1
16.122203583,0
16.122217917,1
16.122223000,0
16.122237167,1
16.122242250,0
16.122256417,1
16.122261500,0
16.122275667,1
16.122280833,0
16.122295000,1
16.122300083,0
16.122314250,1
16.122319333,0
16.122333500,1
16.122338583,0
16.122343167,1
16.122357750,0
16.122372000,1
16.122377083,0
16.122391250,1
16.122396333,0
16.122410500,1
16.122415583,0
16.122429750,1
16.122434833,0
16.122449083,1
16.122454167,0
16.122468333,1
16.122473417,0
16.122487583,1
16.122492667,0
16.122497250,1
16.122511833,0
16.122526083,1
16.122531167,0
16.122535750,1
16.122550333,0
16.122555000,1
16.122569583,0
16.122574333,1
16.122588833,0
16.122603167,1
16.122608167,0
16.122622417,1
16.122627500,0
16.122641667,1
16.122646750,0
16.122651333,1
16.122665833,0
16.122670583,1
16.122685167,0
16.122699417,1
16.122704500,0
16.122718667,1
16.122723750,0
16.122737917,1
16.122743083,0
16.122757167,1
16.122762333,0
16.122776500,1
16.122781583,0
16.122795750,1
16.122800833,0
16.122815000,1
16.122820083,0
16.122824667,1
16.122839167,0
16.122843917,1
16.122858500,0
16.122872750,1
16.122877833,0
16.122882417,1
16.122897000,0
16.122911250,1
16.122916333,0
16.122921000,1
16.122935500,0
16.122949833,1
16.122954833,0
16.122959500,1
16.122974000,0
16.122988333,1
16.122993417,0
16.123007583,1
16.123012667,0
16.123026833,1
16.123031917,0
16.123036500,1
16.123051083,0
16.123055750,1
16.123070333,0
16.123084583,1
16.123089667,0
16.123103917,1
16.123109000,0
16.123123167,1
16.123128250,0
16.123142417,1
16.123147500,0
16.123161667,1
16.123166750,0
16.123180917,1
16.123186000,0
16.123190583,1
16.123205167,0
16.123209833,1
16.123224417,0
16.123238667,1
16.123243750,0
16.123258000,1
16.123263083,0
16.123277250,1
16.123282333,0
16.123296500,1
16.123301583,0
16.123315750,1
16.123320833,0
16.123335000,1
16.123340083,0
16.123344667,1
16.123359250,0
16.123363917,1
16.123378500,0
16.123392750,1
16.123397833,0
16.123412000,1
16.123417083,0
16.123431333,1
16.123436417,0
16.123450583,1
16.123455667,0
16.123460250,1
16.123474750,0
16.123489083,1
16.123494167,0
16.123498750,1
16.123513333,0
16.123518000,1
16.123532583,0
16.123546833,1
16.123551917,0
16.123566083,1
16.123571167,0
16.123585333,1
16.123590500,0
16.123595083,1
16.123609583,0
16.123623917,1
16.123628917,0
16.123643167,1
16.123648250,0
16.123652833,1
16.123667417,0
16.123672083,1
16.123686667,0
16.123700917,1
16.123706000,0
16.123720167,1
16.123725250,0
16.123739417,1
16.123744583,0
16.123749167,1
16.123763667,0
16.123768417,1
16.123782917,0
16.123797250,1
16.123802333,0
16.123806917,1
16.123821417,0
16.123826167,1
16.123840750,0
16.123855000,1
16.123860083,0
16.123874250,1
16.123879333,0
16.123883917,1
16.123898500,0
16.123912750,1
16.123917833,0
16.123932000,1
16.123937083,0
16.123951333,1
16.123956417,0
16.123961000,1
16.123975500,0
16.123980250,1
16.123994750,0
16.124009083,1
16.124014167,0
16.124028333,1
16.124033417,0
16.124047583,1
16.124052667,0
16.124057250,1
16.124071833,0
16.124076500,1
16.124091083,0
16.124095750,1
16.124110333,0
16.124115083,1
16.124129583,0
16.124143917,1
16.124148917,0
16.124163167,1
16.124168250,0
16.124182417,1
16.124187500,0
16.124201667,1
16.124206750,0
16.124211333,1
16.124225917,0
16.124230583,1
16.124245167,0
16.124249833,1
16.124264417,0
16.124269167,1
16.124283667,0
16.124298000,1
16.124303000,0
16.124317250,1
16.124322333,0
16.124336500,1
16.124341583,0
16.124355750,1
16.124360833,0
16.124365417,1
16.124380000,0
16.124384667,1
16.124399250,0
16.124403917,1
16.124418500,0
16.124423167,1
16.124437750,0
16.124452000,1
16.124457083,0
16.124471333,1
16.124476417,0
16.124490583,1
16.124495667,0
16.124509833,1
16.124514917,0
16.124519500,1
16.124534083,0
16.124538750,1
16.124553333,0
16.124558000,1
16.124572583,0
16.124577250,1
16.124591833,0
16.124606083,1
16.124611167,0
16.124625417,1
16.124630417,0
16.124644667,1
16.124649750,0
16.124663917,1
16.124669000,0
16.124673583,1
16.124688083,0
16.124692833,1
16.124707417,0
16.124712083,1
16.124726667,0
16.124731333,1
16.124745917,0
16.124760167,1
16.124765250,0
16.124779417,1
16.124784500,0
16.124798750,1
16.124803833,0
16.124818000,1
16.124823083,0
16.124827667,1
16.124842167,0
16.124846917,1
16.124861500,0
16.124866167,1
16.124880750,0
16.124885417,1
16.124900000,0
16.124914250,1
16.124919333,0
16.124933500,1
16.124938583,0
16.124952833,1
16.124957917,0
16.124972083,1
16.124977167,0
16.124981750,1
16.124996250,0
16.125001000,1
16.125015500,0
16.125020250,1
16.125034833,0
16.125039500,1
16.125054083,0
16.125068333,1
16.125073417,0
16.125087583,1
16.125092667,0
16.125106833,1
16.125111917,0
16.125116583,1
16.125131083,0
16.125135833,1
16.125150333,0
16.125164667,1
16.125169667,0
16.125183917,1
16.125189000,0
16.125203167,1
16.125208250,0
16.125222417,1
16.125227500,0
16.125232083,1
16.125246667,0
16.125260917,1
16.125266000,0
16.125280167,1
16.125285250,0
16.125289917,1
16.125304417,0
16.125309167,1
16.125323667,0
16.125328417,1
16.125342917,0
16.125357250,1
16.125362333,0
16.125376500,1
16.125381583,0
16.125395750,1
16.125400833,0
16.125415000,1
16.125420083,0
16.125434250,1
16.125439333,0
16.125453500,1
16.125458583,0
16.125472833,1
16.125477917,0
16.125492083,1
16.125497167,0
16.125511333,1
16.125516417,0
16.125530583,1
16.125535667,0
16.125549833,1
16.125554917,0
16.125569083,1
16.125574167,0
16.125578750,1
16.125593333,0
16.125598000,1
16.125612583,0
16.125617250,1
16.125631833,0
16.125636583,1
16.125651083,0
16.125655833,1
16.125670333,0
16.125675083,1
16.125689583,0
16.125703917,1
16.125709000,0
16.125723167,1
16.125728250,0
16.125732833,1
16.125747417,0
16.125752083,1
16.125766667,0
16.125771333,1
16.125785917,0
16.125790583,1
16.125805167,0
16.125819500,1
16.125824583,0
16.125838750,1
16.125843833,0
16.125858000,1
16.125863083,0
16.125877250,1
16.125882333,0
16.125896500,1
16.125901583,0
16.125915750,1
16.125920833,0
16.125925417,1
16.125940000,0
16.125954250,1
16.125959333,0
16.125973500,1
16.125978583,0
16.125992833,1
16.125997917,0
16.126012083,1
16.126017167,0
16.126031333,1
16.126036417,0
16.126050583,1
16.126055667,0
16.126069833,1
16.126074917,0
16.126079500,1
16.126094083,0
16.126108333,1
16.126113417,0
16.126127583,1
16.126132667,0
16.126146917,1
16.126152000,0
16.126166167,1
16.126171250,0
16.126185417,1
16.126190500,0
16.126195083,1
16.126209583,0
16.126214333,1
16.126228917,0
16.126243167,1
16.126248250,0
16.126262417,1
16.126267500,0
16.126281667,1
16.126286750,0
16.126291417,1
16.126305917,0
16.126320250,1
16.126325250,0
16.126339500,1
16.126344583,0
16.126349167,1
16.126363667,0
16.126378000,1
16.126383083,0
16.126387667,1
16.126402250,0
16.126406917,1
16.126421500,0
16.126426167,1
16.126440750,0
16.126455000,1
16.126460083,0
16.126474250,1
16.126479333,0
16.126484000,1
16.126498500,0
16.126512833,1
16.126517917,0
16.126522500,1
16.126537000,0
16.126551333,1
16.126556417,0
16.126570583,1
16.126575667,0
16.126589833,1
16.126594917,0
16.126609083,1
16.126614167,0
16.126628333,1
16.126633500,0
16.126647583,1
16.126652750,0
16.126657333,1
16.126671833,0
16.126686167,1
16.126691167,0
16.126705417,1
16.126710500,0
16.126724667,1
16.126729750,0
16.126743917,1
16.126749000,0
16.126753583,1
16.126768167,0
16.126782417,1
16.126787500,0
16.126801667,1
16.126806750,0
16.126820917,1
16.126826000,0
16.126830583,1
16.126845167,0
16.126849917,1
16.126864417,0
16.126869167,1
16.126883667,0
16.126898000,1
16.126903000,0
16.126917250,1
16.126922333,0
16.126936500,1
16.126941583,0
16.126955750,1
16.126960833,0
16.126975000,1
16.126980083,0
16.126994250,1
16.126999333,0
16.127013500,1
16.127018583,0
16.127032750,1
16.127037917,0
16.127052083,1
16.127057167,0
16.127071333,1
16.127076417,0
16.127090583,1
16.127095667,0
16.127109833,1
16.127114917,0
16.127129083,1
16.127134167,0
16.127138750,1
16.127153333,0
16.127158000,1
16.127172583,0
16.127177250,1
16.127191833,0
16.127196500,1
16.127211083,0
16.127215750,1
16.127230333,0
16.127244583,1
16.127249667,0
16.127263917,1
16.128209833,0
16.128222667,1
16.128229167,0
16.128242833,1
16.128248417,0
16.128254250,1
16.128267667,0
16.128281667,1
16.128286917,0
16.128300500,1
16.128306250,0
16.128318250,1
16.128325500,0
16.128338250,1
16.128344750,0
16.128350583,1
16.128363917,0
16.128377083,1
16.128383250,0
16.128397167,1
16.128402500,0
16.128416000,1
16.128421750,0
16.128433667,1
16.128441000,0
16.128453750,1
16.128460250,0
16.128473833,1
16.128479500,0
16.128492583,1
16.128498750,0
16.128512667,1
16.128518083,0
16.128523833,1
16.128537250,0
16.128549083,1
16.128556583,0
16.128569167,1
16.128575833,0
16.128589250,1
16.128595083,0
16.128608000,1
16.128614333,0
16.128628083,1
16.128633583,0
16.128646917,1
16.128652833,0
16.128667000,1
16.128672167,0
16.128685750,1
16.128691417,0
16.128703500,1
16.128710667,0
16.128716500,1
16.128729833,0
16.128743500,1
16.128749167,0
16.128755000,1
16.128768417,0
16.128774250,1
16.128787667,0
16.128801000,1
16.128806917,0
16.128818750,1
16.128826167,0
16.128838250,1
16.128845417,0
16.128858250,1
16.128864667,0
16.128878250,1
16.128883917,0
16.128897000,1
16.128903167,0
16.128917083,1
16.128922500,0
16.128935833,1
16.128941750,0
16.128953500,1
16.128961000,0
16.128973500,1
16.129170333,0
16.129176250,1
16.129189667,0
16.129195500,1
16.129208917,0
16.129214750,1
16.129228167,0
16.129241750,1
16.129247417,0
16.129260583,1
16.129266667,0
16.129280667,1
16.129286000,0
16.129291833,1
16.129305167,0
16.129317083,1
16.130390333,0
16.130404667,1
16.130409750,0
16.130414333,1
16.130428917,0
16.130443167,1
16.130448250,0
16.130462417,1
16.130467500,0
16.130481667,1
16.130486750,0
16.130500917,1
16.130506083,0
16.130520167,1
16.130525333,0
16.130529917,1
16.130544417,0
16.130558750,1
16.130563833,0
16.130578000,1
16.130583083,0
16.130597250,1
16.130602333,0
16.130616500,1
16.130621583,0
16.130635750,1
16.130640833,0
16.130655000,1
16.130660083,0
16.130674250,1
16.130679333,0
16.130693500,1
16.130698583,0
16.130712833,1
16.130717917,0
16.130722500,1
16.130737000,0
16.130751333,1
16.130756417,0
16.130770583,1
16.130775667,0
16.130789833,1
16.130794917,0
16.130809083,1
16.130814167,0
16.130828333,1
16.130833417,0
16.130847583,1
16.130852667,0
16.130857333,1
16.130871833,0
16.130886083,1
16.130891167,0
16.130905417,1
16.130910500,0
16.130924667,1
16.130929750,0
16.130943917,1
16.130949000,0
16.130963167,1
16.130968250,0
16.130982417,1
16.130987500,0
16.131001667,1
16.131006750,0
16.131011333,1
16.131025917,0
16.131030583,1
16.131045167,0
16.131059417,1
16.131064500,0
16.131069083,1
16.131083667,0
16.131088417,1
16.131102917,0
16.131117250,1
16.131122250,0
16.131136500,1
16.131141583,0
16.131155750,1
16.131160833,0
16.131165417,1
16.131179917,0
16.131184667,1
16.131199250,0
16.131213500,1
16.131218583,0
16.131232750,1
16.131237833,0
16.131252000,1
16.131257083,0
16.131271250,1
16.131276333,0
16.131290500,1
16.131295583,0
16.131309750,1
16.131314833,0
16.131329083,1
16.131334167,0
16.131338750,1
16.131353250,0
16.131358000,1
16.131372500,0
16.131386833,1
16.131391917,0
16.131396500,1
16.131411000,0
16.131425333,1
16.131430417,0
16.131435000,1
16.131449583,0
16.131463833,1
16.131468917,0
16.131473500,1
16.131488083,0
16.131502333,1
16.131507417,0
16.131521583,1
16.131526667,0
16.131540917,1
16.131546000,0
16.131550583,1
16.131565083,0
16.131569833,1
16.131584333,0
16.131598667,1
16.131603750,0
16.131617917,1
16.131623000,0
16.131637167,1
16.131642250,0
16.131656417,1
16.131661500,0
16.131675667,1
16.131680750,0
16.131694917,1
16.131700000,0
16.131704583,1
16.131719167,0
16.131723917,1
16.131738417,0
16.131752750,1
16.131757750,0
16.131772000,1
16.131777083,0
16.131791250,1
16.131796333,0
16.131810500,1
16.131815583,0
16.131829750,1
16.131834833,0
16.131849000,1
16.131854083,0
16.131858667,1
16.131873250,0
16.131877917,1
16.131892500,0
16.131906750,1
16.131911833,0
16.131926083,1
16.131931167,0
16.131945333,1
16.131950417,0
16.131964583,1
16.131969667,0
16.131974250,1
16.131988750,0
16.132003083,1
16.132008167,0
16.132012750,1
16.132027333,0
16.132032000,1
16.132046583,0
16.132060833,1
16.132065917,0
16.132080083,1
16.132085167,0
16.132099333,1
16.132104417,0
16.132109000,1
16.132123583,0
16.132137833,1
16.132142917,0
16.132157167,1
16.132162250,0
16.132166833,1
16.132181333,0
16.132186083,1
16.132200583,0
16.132214917,1
16.132220000,0
16.132234167,1
16.132239250,0
16.132253417,1
16.132258500,0
16.132263083,1
16.132277667,0
16.132282333,1
16.132296917,0
16.132311167,1
