Time [s],Channel 1
35.901696764,1
35.903453750,0
35.903458417,1
35.903473000,0
35.903477667,1
35.903492250,0
35.903497000,1
35.903511500,0
35.903516250,1
35.903530750,0
35.903535500,1
35.903550000,0
35.903554750,1
35.903569250,0
35.903574000,1
35.903588500,0
35.903593250,1
35.903856917,0
35.903869917,1
35.903876250,0
35.903882083,1
35.903895500,0
35.903908333,1
35.903914750,0
35.903920583,1
35.903934000,0
35.903939833,1
35.903953250,0
35.903966500,1
35.903972583,0
35.903978417,1
35.903991833,0
35.904004917,1
35.908449583,0
35.908463917,1
35.908468917,0
35.908473583,1
35.908488083,0
35.908502417,1
35.908507500,0
35.908521667,1
35.908526750,0
35.908540917,1
35.908546000,0
35.908560167,1
35.908565250,0
35.908579417,1
35.908584500,0
35.908589167,1
35.908603667,0
35.908618000,1
35.908623000,0
35.908637250,1
35.908642333,0
35.908656500,1
35.908661583,0
35.908675750,1
35.908680833,0
35.908695000,1
35.908700083,0
35.908714250,1
35.908719333,0
35.908733500,1
35.908738583,0
35.908752750,1
35.908757833,0
35.908762500,1
35.908777000,0
35.908791333,1
35.908796333,0
35.908810583,1
35.908815667,0
35.908829833,1
35.908834917,0
35.908849083,1
35.908854167,0
35.908868333,1
35.908873417,0
35.908887583,1
35.908892667,0
35.908906833,1
35.908911917,0
35.908916500,1
35.908931083,0
35.908945333,1
35.908950417,0
35.908964667,1
35.908969667,0
35.908983917,1
35.908989000,0
35.909003167,1
35.909008250,0
35.909022417,1
35.909027500,0
35.909041667,1
35.909046750,0
35.909060917,1
35.909066000,0
35.909070583,1
35.909085167,0
35.909099417,1
35.909104500,0
35.909109083,1
35.909123667,0
35.909128417,1
35.909142917,0
35.909147667,1
35.909162167,0
35.909176500,1
35.909181583,0
35.909195750,1
35.909200833,0
35.909215000,1
35.909220083,0
35.909224667,1
35.909239250,0
35.909243917,1
35.909258500,0
35.909272750,1
35.909277833,0
35.909292083,1
35.909297083,0
35.909311333,1
35.909316333,0
35.909330583,1
35.909335667,0
35.909349833,1
35.909354917,0
35.909369083,1
35.909374167,0
35.909388333,1
35.909393417,0
35.909398000,1
35.909412583,0
35.909417250,1
35.909431833,0
35.909446083,1
35.909451167,0
35.909455833,1
35.909470333,0
35.909484583,1
35.909489667,0
35.909494333,1
35.909508833,0
35.909523167,1
35.909528167,0
35.909532833,1
35.909547333,0
35.909561667,1
35.909566750,0
35.909580917,1
35.909586000,0
35.909600167,1
35.909605250,0
35.909609833,1
35.909624417,0
35.909629083,1
35.909643667,0
35.909657917,1
35.909663000,0
35.909677167,1
35.909682250,0
35.909696500,1
35.909701583,0
35.909715750,1
35.909720833,0
35.909735000,1
35.909740083,0
35.909754250,1
35.909759333,0
35.909763917,1
35.909778500,0
35.909783167,1
35.909797750,0
35.909812000,1
35.909817083,0
35.909831250,1
35.909836333,0
35.909850500,1
35.909855583,0
35.909869833,1
35.909874917,0
35.909889083,1
35.909894167,0
35.909908333,1
35.909913417,0
35.909918000,1
35.909932500,0
35.909937250,1
35.909951833,0
35.909966083,1
35.909971167,0
35.909985333,1
35.909990417,0
35.910004583,1
35.910009667,0
35.910023833,1
35.910028917,0
35.910033583,1
35.910048083,0
35.910062417,1
35.910067417,0
35.910072083,1
35.910086583,0
35.910091333,1
35.910105833,0
35.910120167,1
35.910125250,0
35.910139417,1
35.910144500,0
35.910158667,1
35.910163750,0
35.910168333,1
35.910182917,0
35.910197167,1
35.910202250,0
35.910216417,1
35.910221500,0
35.910226167,1
35.910240667,0
35.910245417,1
35.910259917,0
35.910274250,1
35.910279250,0
35.910293500,1
35.910298583,0
35.910312750,1
35.910317833,0
35.910322417,1
35.910337000,0
35.910341667,1
35.910356250,0
35.910370500,1
35.910375583,0
35.910380250,1
35.910394750,0
35.910399500,1
35.910414000,0
35.910428333,1
35.910433333,0
35.910447583,1
35.910452667,0
35.910457250,1
35.910471833,0
35.910486083,1
35.910491167,0
35.910505333,1
35.910510417,0
35.910524583,1
35.910529667,0
35.910534333,1
35.910548833,0
35.910553583,1
35.910568083,0
35.910582417,1
35.910587417,0
35.910601667,1
35.910606750,0
35.910620917,1
35.910626000,0
35.910630583,1
35.910645167,0
35.910649833,1
35.910664417,0
35.910669083,1
35.910683667,0
35.910688333,1
35.910702917,0
35.910717250,1
35.910722250,0
35.910736500,1
35.910741500,0
35.910755750,1
35.910760833,0
35.910775000,1
35.910780083,0
35.910784667,1
35.910799250,0
35.910803917,1
35.910818500,0
35.910823167,1
35.910837750,0
35.910842500,1
35.910857000,0
35.910871333,1
35.910876333,0
35.910890583,1
35.910895667,0
35.910909833,1
35.910914917,0
35.910929083,1
35.910934167,0
35.910938750,1
35.910953333,0
35.910958000,1
35.910972583,0
35.910977250,1
35.910991833,0
35.910996500,1
35.911011083,0
35.911025333,1
35.911030417,0
35.911044667,1
35.911049667,0
35.911063917,1
35.911068917,0
35.911083167,1
35.911088250,0
35.911092833,1
35.911107333,0
35.911112083,1
35.911126667,0
35.911131333,1
35.911145917,0
35.911150583,1
35.911165167,0
35.911179417,1
35.911184500,0
35.911198667,1
35.911203750,0
35.911217917,1
35.911223000,0
35.911237250,1
35.911242333,0
35.911246917,1
35.911261417,0
35.911266167,1
35.911280667,0
35.911285417,1
35.911299917,0
35.911304667,1
35.911319250,0
35.911333500,1
35.911338583,0
35.911352750,1
35.911357833,0
35.911372000,1
35.911377083,0
35.911391250,1
35.911396333,0
35.911401000,1
35.911415500,0
35.911420250,1
35.911434750,0
35.911439500,1
35.911454000,0
35.911458750,1
35.911473250,0
35.911487583,1
35.911492667,0
35.911506833,1
35.911511917,0
35.911526083,1
35.911531167,0
35.911545333,1
35.911550417,0
35.911555000,1
35.911569583,0
35.911574333,1
35.911588833,0
35.911593583,1
35.911608083,0
35.911612833,1
35.911627333,0
35.911641667,1
35.911646667,0
35.911660917,1
35.911666000,0
35.911680167,1
35.911685250,0
35.911689833,1
35.911704417,0
35.911709083,1
35.911723667,0
35.911737917,1
35.911743000,0
35.911757250,1
35.911762250,0
35.911776500,1
35.911781500,0
35.911795750,1
35.911800833,0
35.911805417,1
35.911819917,0
35.911834250,1
35.911839333,0
35.911853500,1
35.911858583,0
35.911863167,1
35.911877750,0
35.911882417,1
35.911897000,0
35.911901667,1
35.911916250,0
35.911930500,1
35.911935583,0
35.911949750,1
35.911954833,0
35.911969083,1
35.911974083,0
35.911988333,1
35.911993417,0
35.912007583,1
35.912012667,0
35.912026833,1
35.912031917,0
35.912046083,1
35.912051167,0
35.912065333,1
35.912070417,0
35.912084583,1
35.912089667,0
35.912103917,1
35.912109000,0
35.912123167,1
35.912128250,0
35.912142417,1
35.912147500,0
35.912152083,1
35.912166667,0
35.912171333,1
35.912185917,0
35.912190583,1
35.912205167,0
35.912209833,1
35.912224417,0
35.912229167,1
35.912243667,0
35.912248417,1
35.912262917,0
35.912277250,1
35.912282250,0
35.912296500,1
35.912301583,0
35.912306167,1
35.912320750,0
35.912325417,1
35.912340000,0
35.912344667,1
35.912359250,0
35.912363917,1
35.912378500,0
35.912392750,1
35.912397833,0
35.912412083,1
35.912417083,0
35.912431333,1
35.912436333,0
35.912450583,1
35.912455667,0
35.912469833,1
35.912474917,0
35.912489083,1
35.912494167,0
35.912498750,1
35.912513333,0
35.912527583,1
35.912532667,0
35.912546833,1
35.912551917,0
35.912566083,1
35.912571167,0
35.912585417,1
35.912590417,0
35.912604667,1
35.912609750,0
35.912623917,1
35.912629000,0
35.912643167,1
35.912648250,0
35.912652833,1
35.912667417,0
35.912681667,1
35.912686750,0
35.912700917,1
35.912706000,0
35.912720167,1
35.912725250,0
35.912739417,1
35.912744500,0
35.912758750,1
35.912763833,0
35.912768417,1
35.912782917,0
35.912787667,1
35.912802167,0
35.912816500,1
35.912821500,0
35.912835750,1
35.912840833,0
35.912855000,1
35.912860083,0
35.912864667,1
35.912879250,0
35.912893500,1
35.912898583,0
35.912912750,1
35.912917833,0
35.912932000,1
35.912937083,0
