Time [s],Channel 1
10.728477413,1
10.730945083,0
10.730949833,1
10.730964333,0
10.730969083,1
10.730983583,0
10.730988333,1
10.731002833,0
10.731007583,1
10.731022083,0
10.731026833,1
10.731041417,0
10.731046083,1
10.731060667,0
10.731065333,1
10.731079917,0
10.731084583,1
10.731348333,0
10.731361917,1
10.731367667,0
10.731373500,1
10.731386917,0
10.731399667,1
10.731406167,0
10.731412000,1
10.731425417,0
10.731431250,1
10.731444667,0
10.731458583,1
10.731464000,0
10.731469833,1
10.731483167,0
10.731495000,1
10.735980417,0
10.735994667,1
10.735999833,0
10.736004417,1
10.736018917,0
10.736033250,1
10.736038333,0
10.736052500,1
10.736057583,0
10.736071750,1
10.736076833,0
10.736091000,1
10.736096083,0
10.736110250,1
10.736115417,0
10.736119917,1
10.736134500,0
10.736148750,1
10.736153833,0
10.736168000,1
10.736173167,0
10.736187250,1
10.736192417,0
10.736206583,1
10.736211667,0
10.736225833,1
10.736230917,0
10.736245083,1
10.736250167,0
10.736264333,1
10.736269417,0
10.736283583,1
10.736288667,0
10.736293250,1
10.736307833,0
10.736322083,1
10.736327167,0
10.736341333,1
10.736346417,0
10.736360667,1
10.736365750,0
10.736379917,1
10.736385000,0
10.736399167,1
10.736404250,0
10.736418417,1
10.736423500,0
10.736437667,1
10.736442750,0
10.736447333,1
10.736461917,0
10.736476167,1
10.736481250,0
10.736495417,1
10.736500583,0
10.736514750,1
10.736519833,0
10.736534000,1
10.736539083,0
10.736553250,1
10.736558333,0
10.736572500,1
10.736577583,0
10.736591750,1
10.736596833,0
10.736601417,1
10.736616000,0
10.736630250,1
10.736635333,0
10.736640000,1
10.736654500,0
10.736659250,1
10.736673750,0
10.736678500,1
10.736693000,0
10.736707333,1
10.736712417,0
10.736726583,1
10.736731667,0
10.736745833,1
10.736750917,0
10.736755500,1
10.736770083,0
10.736774750,1
10.736789333,0
10.736803583,1
10.736808667,0
10.736822917,1
10.736828000,0
10.736842167,1
10.736847250,0
10.736861417,1
10.736866500,0
10.736880667,1
10.736885750,0
10.736899917,1
10.736905000,0
10.736919167,1
10.736924250,0
10.736928833,1
10.736943417,0
10.736948083,1
10.736962667,0
10.736977000,1
10.736982000,0
10.736986667,1
10.737001167,0
10.737015500,1
10.737020583,0
10.737025167,1
10.737039750,0
10.737054000,1
10.737059083,0
10.737063667,1
10.737078250,0
10.737092500,1
10.737097583,0
10.737111750,1
10.737116833,0
10.737131083,1
10.737136167,0
10.737140750,1
10.737155250,0
10.737160000,1
10.737174500,0
10.737188833,1
10.737193917,0
10.737208083,1
10.737213167,0
10.737227333,1
10.737232417,0
10.737246583,1
10.737251667,0
10.737265833,1
10.737270917,0
10.737285083,1
10.737290250,0
10.737294833,1
10.737309333,0
10.737314083,1
10.737328583,0
10.737342917,1
10.737348000,0
10.737362167,1
10.737367250,0
10.737381417,1
10.737386500,0
10.737400667,1
10.737405750,0
10.737419917,1
10.737425000,0
10.737439167,1
10.737444333,0
10.737448917,1
10.737463417,0
10.737468167,1
10.737482667,0
10.737497000,1
10.737502083,0
10.737516250,1
10.737521333,0
10.737535500,1
10.737540583,0
10.737554750,1
10.737559833,0
