Time [s],Channel 1
22.093648429,1
22.096259917,0
22.096264667,1
22.096279167,0
22.096283917,1
22.096298417,0
22.096303167,1
22.096317667,0
22.096322417,1
22.096336917,0
22.096341667,1
22.096356167,0
22.096360917,1
22.096375500,0
22.096380167,1
22.096394750,0
22.096399417,1
22.096663083,0
22.096676083,1
22.096682417,0
22.096688250,1
22.096701667,0
22.096714417,1
22.096721000,0
22.096726833,1
22.096740167,0
22.096746083,1
22.096759500,0
22.096772583,1
22.096778750,0
22.096784583,1
22.096798000,0
22.096811000,1
22.101255917,0
22.101270250,1
22.101275333,0
22.101279917,1
22.101294500,0
22.101308750,1
22.101313833,0
22.101328000,1
22.101333083,0
22.101347250,1
22.101352333,0
22.101366500,1
22.101371667,0
22.101385833,1
22.101390917,0
22.101395500,1
22.101410000,0
22.101424333,1
22.101429417,0
22.101443583,1
22.101448667,0
22.101462833,1
22.101467917,0
22.101482083,1
22.101487167,0
22.101501333,1
22.101506417,0
22.101520667,1
22.101525750,0
22.101539917,1
22.101545000,0
22.101559167,1
22.101564250,0
22.101568833,1
22.101583333,0
22.101597667,1
22.101602667,0
22.101616917,1
22.101622000,0
22.101636167,1
22.101641250,0
22.101655417,1
22.101660500,0
22.101674667,1
22.101679750,0
22.101693917,1
22.101699000,0
22.101713250,1
22.101718333,0
22.101722917,1
22.101737417,0
22.101751750,1
22.101756833,0
22.101771000,1
22.101776083,0
22.101790250,1
22.101795333,0
22.101809500,1
22.101814583,0
22.101828750,1
22.101833833,0
22.101848000,1
22.101853083,0
22.101867333,1
22.101872333,0
22.101877000,1
22.101891500,0
22.101905833,1
22.101910917,0
22.101915500,1
22.101930000,0
22.101934750,1
22.101949333,0
22.101954000,1
22.101968583,0
22.101982833,1
22.101987917,0
22.102002083,1
22.102007167,0
22.102021333,1
22.102026417,0
22.102031083,1
22.102045583,0
22.102050333,1
22.102064833,0
22.102079167,1
22.102084167,0
22.102098417,1
22.102103500,0
22.102117667,1
22.102122750,0
22.102136917,1
22.102142000,0
22.102156167,1
22.102161250,0
22.102175417,1
22.102180500,0
22.102194667,1
22.102199750,0
22.102204417,1
22.102218917,0
22.102223667,1
22.102238167,0
22.102252500,1
22.102257500,0
22.102262167,1
22.102276667,0
22.102291000,1
22.102296083,0
22.102300667,1
22.102315250,0
22.102329500,1
22.102334583,0
22.102339167,1
22.102353750,0
22.102368000,1
22.102373083,0
22.102387250,1
22.102392333,0
22.102406583,1
22.102411667,0
22.102416250,1
22.102430750,0
22.102435500,1
22.102450000,0
22.102464333,1
22.102469417,0
22.102483583,1
22.102488667,0
22.102502833,1
22.102507917,0
22.102522083,1
22.102527167,0
22.102541333,1
22.102546417,0
22.102560583,1
22.102565667,0
22.102570333,1
22.102584833,0
22.102589583,1
22.102604083,0
22.102618417,1
22.102623417,0
22.102637667,1
22.102642750,0
22.102656917,1
22.102662000,0
22.102676167,1
22.102681250,0
22.102695417,1
22.102700500,0
22.102714667,1
22.102719750,0
22.102724417,1
22.102738917,0
22.102743667,1
22.102758167,0
22.102772500,1
22.102777500,0
22.102791750,1
22.102796833,0
22.102811000,1
22.102816083,0
22.102830250,1
22.102835333,0
22.102839917,1
22.102854500,0
22.102868750,1
22.102873833,0
22.102878500,1
22.102893000,0
22.102897750,1
22.102912250,0
22.102926583,1
22.102931583,0
22.102945833,1
22.102950917,0
22.102965083,1
22.102970167,0
22.102974750,1
22.102989333,0
22.103003583,1
22.103008667,0
22.103022833,1
22.103027917,0
22.103032500,1
22.103047083,0
22.103051833,1
22.103066333,0
22.103080667,1
22.103085667,0
22.103099917,1
22.103105000,0
22.103119167,1
22.103124250,0
22.103128833,1
22.103143417,0
22.103148083,1
22.103162667,0
22.103176917,1
22.103182000,0
22.103186583,1
22.103201167,0
22.103205917,1
22.103220417,0
22.103234750,1
22.103239750,0
22.103254000,1
22.103259083,0
22.103263667,1
22.103278167,0
22.103292500,1
