Time [s],Channel 1
18.401733417,1
18.404295917,0
18.404300583,1
18.404314750,0
18.404319333,1
18.404333500,0
18.404338083,1
18.404352250,0
18.404356833,1
18.404371000,0
18.404375667,1
18.404389833,0
18.404394417,1
18.404408583,0
18.404413167,1
18.404427417,0
18.404432000,1
18.404689167,0
18.404703000,1
18.404708083,0
18.404714083,1
18.404726917,0
18.404739833,1
18.404745667,0
18.404751667,1
18.404764500,0
18.404770583,1
18.404783250,0
18.404797000,1
18.404802000,0
18.404808083,1
18.404820833,0
18.404834500,1
18.409064333,0
18.409078250,1
18.409083250,0
18.409087667,1
18.409101917,0
18.409115833,1
18.409120833,0
18.409134583,1
18.409139667,0
18.409153417,1
18.409158500,0
18.409172167,1
18.409177250,0
18.409190917,1
18.409196083,0
18.409200417,1
18.409214583,0
18.409228500,1
18.409233583,0
18.409247250,1
18.409252417,0
18.409266083,1
18.409271167,0
18.409284833,1
18.409290000,0
18.409303667,1
18.409308750,0
18.409322417,1
18.409327500,0
18.409341167,1
18.409346333,0
18.409360000,1
18.409365083,0
18.409369417,1
18.409383583,0
18.409397500,1
18.409402583,0
18.409416333,1
18.409421417,0
18.409435083,1
18.409440250,0
18.409453917,1
18.409459000,0
18.409472667,1
18.409477750,0
18.409491417,1
18.409496583,0
18.409510250,1
18.409515333,0
18.409519667,1
18.409533833,0
18.409547750,1
18.409552833,0
18.409566583,1
18.409571667,0
18.409585333,1
18.409590417,0
18.409604083,1
18.409609250,0
18.409622917,1
18.409628000,0
18.409641667,1
18.409646833,0
18.409660500,1
18.409665583,0
18.409669917,1
18.409684083,0
18.409698000,1
18.409703083,0
18.409707500,1
18.409721667,0
18.409726250,1
18.409740500,0
18.409745083,1
18.409759250,0
18.409773167,1
18.409778250,0
18.409792000,1
18.409797083,0
18.409810750,1
18.409815833,0
18.409820167,1
18.409834417,0
18.409839000,1
18.409853167,0
18.409867083,1
18.409872083,0
18.409885917,1
18.409891000,0
18.409904667,1
18.409909750,0
18.409923417,1
18.409928583,0
18.409942250,1
18.409947333,0
18.409961000,1
18.409966167,0
18.409979833,1
18.409984917,0
18.409989250,1
18.410003417,0
18.410008000,1
18.410022250,0
18.410036167,1
18.410041167,0
18.410045583,1
18.410059750,0
18.410073750,1
18.410078750,0
18.410083167,1
18.410097333,0
18.410111250,1
18.410116250,0
18.410120750,1
18.410134917,0
18.410148833,1
18.410153833,0
18.410167583,1
18.410172667,0
18.410186417,1
18.410191500,0
18.410195833,1
18.410210083,0
18.410214667,1
18.410228833,0
18.410242750,1
18.410247750,0
18.410261500,1
18.410266583,0
18.410280333,1
18.410285417,0
18.410299083,1
18.410304167,0
18.410317917,1
18.410323000,0
18.410336667,1
18.410341750,0
18.410346083,1
18.410360333,0
18.410364917,1
18.410379083,0
18.410393000,1
18.410398000,0
18.410411833,1
18.410416917,0
18.410430583,1
18.410435667,0
18.410449333,1
18.410454500,0
18.410468167,1
18.410473250,0
18.410486917,1
18.410492000,0
18.410496333,1
18.410510583,0
18.410515167,1
18.410529333,0
18.410543250,1
18.410548333,0
18.410562083,1
18.410567167,0
18.410580833,1
18.410585917,0
18.410599583,1
18.410604750,0
18.410609083,1
18.410623250,0
18.410637167,1
18.410642167,0
18.410646667,1
18.410660833,0
18.410665417,1
18.410679583,0
18.410693500,1
18.410698583,0
18.410712333,1
18.410717417,0
18.410731083,1
18.410736167,0
18.410740583,1
18.410754750,0
18.410768667,1
18.410773667,0
18.410787417,1
18.410792500,0
18.410796917,1
18.410811083,0
18.410815667,1
18.410829917,0
18.410843750,1
18.410848833,0
18.410862583,1
18.410867667,0
18.410881333,1
18.410886417,0
18.410890833,1
18.410905000,0
18.410909583,1
18.410923750,0
18.410937667,1
18.410942750,0
18.410947167,1
18.410961333,0
18.410965917,1
18.410980167,0
18.410994083,1
18.410999083,0
18.411012833,1
18.411017917,0
18.411022250,1
18.411036500,0
18.411050417,1
18.411055417,0
18.411069167,1
18.411074250,0
18.411088000,1
18.411093083,0
18.411097417,1
18.411111583,0
18.411116167,1
18.411130417,0
18.411144333,1
18.411149333,0
18.411163083,1
18.411168167,0
18.411181833,1
18.411187000,0
18.411191333,1
18.411205500,0
18.411210083,1
18.411224333,0
18.411228917,1
18.411243083,0
18.411247667,1
18.411261833,0
18.411275750,1
18.411280750,0
18.411294583,1
18.411299667,0
18.411313333,1
18.411318417,0
18.411332167,1
18.411337250,0
18.411341583,1
18.411355750,0
18.411360333,1
18.411374583,0
18.411379167,1
18.411393333,0
18.411397917,1
18.411412083,0
18.411426000,1
18.411431000,0
18.411444833,1
18.411449833,0
18.411463583,1
18.411468667,0
18.411482333,1
18.411487500,0
18.411491833,1
18.411506000,0
18.411510583,1
18.411524833,0
18.411529417,1
18.411543583,0
18.411548167,1
18.411562333,0
18.411576250,1
18.411581250,0
18.411595083,1
18.411600167,0
18.411613833,1
18.411618917,0
18.411632583,1
18.411637750,0
18.411642083,1
18.411656250,0
18.411660833,1
18.411675083,0
18.411679667,1
18.411693833,0
18.411698417,1
18.411712583,0
18.411726500,1
18.411731583,0
18.411745333,1
18.411750417,0
18.411764083,1
18.411769167,0
18.411782917,1
18.411788000,0
18.411792333,1
18.411806500,0
18.411811083,1
18.411825333,0
18.411829917,1
18.411844083,0
18.411848667,1
18.411862917,0
18.411876750,1
18.411881833,0
18.411895583,1
18.411900667,0
18.411914333,1
18.411919417,0
18.411933167,1
18.411938250,0
18.411942583,1
18.411956750,0
18.411961333,1
18.411975583,0
18.411980167,1
18.411994333,0
18.411998917,1
18.412013167,0
18.412027083,1
18.412032083,0
18.412045833,1
18.412050917,0
18.412064583,1
