Time [s],Channel 1
12.584661274,1
12.587231917,0
12.587236667,1
12.587251167,0
12.587255917,1
12.587270417,0
12.587275167,1
12.587289667,0
12.587294417,1
12.587309000,0
12.587313667,1
12.587328250,0
12.587332917,1
12.587347500,0
12.587352167,1
12.587366750,0
12.587371500,1
12.587635167,0
12.587647833,1
12.587654500,0
12.587660417,1
12.587673750,0
12.587686750,1
12.587693083,0
12.587698917,1
12.587712333,0
12.587718167,1
12.587731583,0
12.587745667,1
12.587750833,0
12.587756667,1
12.587770083,0
12.587782083,1
12.592228750,0
12.592243000,1
12.592248083,0
12.592252750,1
12.592267250,0
12.592281583,1
12.592286583,0
12.592300833,1
12.592305917,0
12.592320083,1
12.592325167,0
12.592339333,1
12.592344417,0
12.592358583,1
12.592363667,0
12.592368250,1
12.592382833,0
12.592397083,1
12.592402167,0
12.592416333,1
12.592421500,0
12.592435667,1
12.592440750,0
12.592454917,1
12.592460000,0
12.592474167,1
12.592479250,0
12.592493417,1
12.592498500,0
12.592512667,1
12.592517750,0
12.592531917,1
12.592537000,0
12.592541583,1
12.592556167,0
12.592570417,1
12.592575500,0
12.592589750,1
12.592594833,0
12.592609000,1
12.592614083,0
12.592628250,1
12.592633333,0
12.592647500,1
12.592652583,0
12.592666750,1
12.592671833,0
12.592686000,1
12.592691083,0
12.592695667,1
12.592710250,0
12.592724500,1
12.592729583,0
12.592743833,1
12.592748917,0
12.592763083,1
12.592768167,0
12.592782333,1
12.592787417,0
12.592801583,1
12.592806667,0
12.592820833,1
12.592825917,0
12.592840083,1
12.592845167,0
12.592849750,1
12.592864333,0
12.592878583,1
12.592883667,0
12.592888333,1
12.592902833,0
12.592907583,1
12.592922083,0
12.592926833,1
12.592941333,0
12.592955667,1
12.592960750,0
12.592974917,1
12.592980000,0
12.592994167,1
12.592999250,0
12.593003833,1
12.593018417,0
12.593023083,1
12.593037667,0
12.593051917,1
12.593057000,0
12.593071250,1
12.593076333,0
12.593090500,1
12.593095583,0
12.593109750,1
12.593114833,0
12.593129000,1
12.593134083,0
12.593148250,1
12.593153333,0
12.593167500,1
12.593172583,0
12.593177250,1
12.593191750,0
12.593196500,1
12.593211000,0
12.593225333,1
12.593230417,0
12.593235000,1
12.593249500,0
12.593263833,1
12.593268917,0
12.593273500,1
12.593288083,0
12.593302333,1
12.593307417,0
12.593312000,1
12.593326583,0
12.593340833,1
12.593345917,0
12.593360083,1
12.593365250,0
12.593379333,1
12.593384500,0
12.593389083,1
12.593403583,0
12.593408333,1
12.593422833,0
12.593437167,1
12.593442250,0
12.593456417,1
12.593461500,0
12.593475667,1
12.593480750,0
12.593494917,1
12.593500000,0
12.593514167,1
12.593519250,0
12.593533417,1
12.593538500,0
12.593543083,1
12.593557667,0
12.593562417,1
12.593576917,0
